,steamid,appid,playtime_forever
0,76561198123999673,50,2
1,76561198123999673,60,83
2,76561198123999673,70,1691
3,76561198123999673,130,408
4,76561198123999673,220,4357
5,76561198123999673,340,0
6,76561198123999673,320,0
7,76561198123999673,360,0
8,76561198123999673,380,436
9,76561198123999673,4000,5357
10,76561198123999673,6860,1762
11,76561198123999673,2280,231
12,76561198123999673,2200,185
13,76561198123999673,2350,0
14,76561198123999673,4700,1648
15,76561198123999673,400,769
16,76561198123999673,420,711
17,76561198123999673,12100,228
18,76561198123999673,12230,0
19,76561198123999673,12120,26
20,76561198123999673,12250,0
21,76561198123999673,12140,324
22,76561198123999673,500,1193
23,76561198123999673,17390,892
24,76561198123999673,17440,1
25,76561198123999673,17410,993
26,76561198123999673,10150,825
27,76561198123999673,24720,39
28,76561198123999673,32370,339
29,76561198123999673,6030,244
30,76561198123999673,6020,251
31,76561198123999673,24790,736
32,76561198123999673,24810,16
33,76561198123999673,550,3502
34,76561198123999673,22370,3137
35,76561198123999673,10680,1137
36,76561198123999673,12210,4628
37,76561198123999673,620,3681
38,76561198123999673,105600,1257
39,76561198123999673,17470,380
40,76561198123999673,47780,225
41,76561198123999673,48000,804
42,76561198123999673,46560,28
43,76561198123999673,55150,1218
44,76561198123999673,70600,8
45,76561198123999673,22380,2110
46,76561198123999673,201790,3648
47,76561198123999673,219640,1368
48,76561198123999673,203140,17
49,76561198123999673,205930,0
50,76561198123999673,12110,143
51,76561198123999673,12240,0
52,76561198123999673,113400,415
53,76561198123999673,208090,196
54,76561198123999673,231060,620
55,76561198123999673,238960,1482
56,76561198123999673,250740,2
57,76561198123999673,262410,38
58,76561198123999673,202090,883
59,76561198123999673,253710,3
60,76561198123999673,217200,50
61,76561198123999673,220200,886
62,76561198123999673,72850,16953
63,76561198123999673,41070,1358
64,76561198123999673,564310,0
65,76561198123999673,236850,12456
66,76561198123999673,252950,9423
67,76561198123999673,270370,56
68,76561198123999673,225840,497
69,76561198123999673,48700,1215
70,76561198123999673,282030,266
71,76561198123999673,282440,1
72,76561198123999673,285310,132
73,76561198123999673,286690,1660
74,76561198123999673,287390,328
75,76561198123999673,294160,18
76,76561198123999673,304430,247
77,76561198123999673,302380,3
78,76561198123999673,311690,1143
79,76561198123999673,291480,308
80,76561198123999673,312990,62
81,76561198123999673,205790,0
82,76561198123999673,203160,46
83,76561198123999673,221380,247
84,76561198123999673,287450,112
85,76561198123999673,241930,1879
86,76561198123999673,730,92697
87,76561198123999673,346010,18
88,76561198123999673,255710,519
89,76561198123999673,356310,25
90,76561198123999673,356370,24
91,76561198123999673,306130,7014
92,76561198123999673,360940,82
93,76561198123999673,362890,5272
94,76561198123999673,365050,7
95,76561198123999673,365300,0
96,76561198123999673,365720,1
97,76561198123999673,365670,19
98,76561198123999673,389430,52
99,76561198123999673,214490,4186
100,76561198123999673,225540,63
101,76561198123999673,349040,2430
102,76561198123999673,426000,1266
103,76561198123999673,427270,0
104,76561198123999673,431960,2305
105,76561198123999673,449140,0
106,76561198123999673,379720,3514
107,76561198123999673,475550,343
108,76561198123999673,327030,3701
109,76561198123999673,489830,13077
110,76561198123999673,559620,322
111,76561198123999673,563560,58
112,76561198123999673,588430,219
113,76561198123999673,588650,3561
114,76561198123999673,607380,1
115,76561198123999673,638490,97
116,76561198123999673,218620,519
117,76561198123999673,666220,17
118,76561198123999673,674940,2322
119,76561198123999673,250460,389
120,76561198123999673,684410,154
121,76561198123999673,698780,50
122,76561198123999673,240720,451
123,76561198123999673,725480,861
124,76561198123999673,888040,628
125,76561198123999673,673880,790
126,76561198123999673,945360,3316
127,76561198123999673,1046930,3456
128,76561198123999673,1128810,2238
129,76561198123999673,424840,0
130,76561197966638457,10,68678
131,76561197966638457,20,19
132,76561197966638457,30,32
133,76561197966638457,40,0
134,76561197966638457,50,62
135,76561197966638457,60,4
136,76561197966638457,70,0
137,76561197966638457,130,1
138,76561197966638457,12900,311
139,76561197966638457,50300,0
140,76561197966638457,7520,0
141,76561197966638457,55100,0
142,76561197966638457,3830,0
143,76561197966638457,67370,0
144,76561197966638457,206690,0
145,76561197966638457,205790,6
146,76561197966638457,207610,0
147,76561197966638457,730,97176
148,76561197966638457,55230,0
149,76561197966638457,230410,98
150,76561197966638457,238960,21206
151,76561197966638457,265630,6
152,76561197966638457,239220,0
153,76561197966638457,225260,0
154,76561197966638457,210770,0
155,76561197966638457,72850,239
156,76561197966638457,3910,0
157,76561197966638457,234940,0
158,76561197966638457,234650,0
159,76561197966638457,65930,0
160,76561197966638457,235720,0
161,76561197966638457,242760,1417
162,76561197966638457,251570,22544
163,76561197966638457,261110,0
164,76561197966638457,263060,0
165,76561197966638457,267920,0
166,76561197966638457,267940,0
167,76561197966638457,267960,0
168,76561197966638457,267980,0
169,76561197966638457,550,6430
170,76561197966638457,271570,0
171,76561197966638457,271640,0
172,76561197966638457,228380,60
173,76561197966638457,272860,0
174,76561197966638457,273110,17
175,76561197966638457,273770,0
176,76561197966638457,275470,0
177,76561197966638457,222900,22
178,76561197966638457,283330,0
179,76561197966638457,283350,0
180,76561197966638457,283370,0
181,76561197966638457,283390,0
182,76561197966638457,283410,0
183,76561197966638457,283430,0
184,76561197966638457,285010,0
185,76561197966638457,351030,0
186,76561197966638457,1058200,0
187,76561197966638457,285090,0
188,76561197966638457,286360,0
189,76561197966638457,286570,0
190,76561197966638457,286690,0
191,76561197966638457,287100,0
192,76561197966638457,287390,0
193,76561197966638457,290730,0
194,76561197966638457,270550,3
195,76561197966638457,292380,0
196,76561197966638457,292390,0
197,76561197966638457,292410,0
198,76561197966638457,292570,0
199,76561197966638457,293180,0
200,76561197966638457,294230,0
201,76561197966638457,295110,17343
202,76561197966638457,362300,0
203,76561197966638457,433850,250
204,76561197966638457,439700,0
205,76561197966638457,296050,0
206,76561197966638457,299260,0
207,76561197966638457,299500,0
208,76561197966638457,301520,5074
209,76561197966638457,303390,0
210,76561197966638457,306350,0
211,76561197966638457,63380,0
212,76561197966638457,224600,0
213,76561197966638457,307070,24
214,76561197966638457,307350,0
215,76561197966638457,308580,0
216,76561197966638457,310450,0
217,76561197966638457,311480,1
218,76561197966638457,312710,0
219,76561197966638457,265590,0
220,76561197966638457,315060,0
221,76561197966638457,315260,0
222,76561197966638457,200110,0
223,76561197966638457,258160,122
224,76561197966638457,319180,3
225,76561197966638457,295550,0
226,76561197966638457,238320,0
227,76561197966638457,223650,33
228,76561197966638457,328590,0
229,76561197966638457,15700,0
230,76561197966638457,338050,0
231,76561197966638457,338550,0
232,76561197966638457,340200,61
233,76561197966638457,343180,0
234,76561197966638457,343360,0
235,76561197966638457,345220,0
236,76561197966638457,301640,320
237,76561197966638457,346950,0
238,76561197966638457,351910,0
239,76561197966638457,255710,0
240,76561197966638457,1250,0
241,76561197966638457,35420,0
242,76561197966638457,232090,0
243,76561197966638457,232150,0
244,76561197966638457,364690,0
245,76561197966638457,381140,0
246,76561197966638457,391720,0
247,76561197966638457,400370,0
248,76561197966638457,412770,0
249,76561197966638457,414580,0
250,76561197966638457,414700,0
251,76561197966638457,518120,0
252,76561197966638457,546400,0
253,76561197966638457,529760,0
254,76561197966638457,550210,0
255,76561197966638457,567130,0
256,76561197966638457,567290,0
257,76561197966638457,578080,81133
258,76561197966638457,584890,0
259,76561197966638457,594650,0
260,76561197966638457,770720,0
261,76561197966638457,356190,4965
262,76561197966638457,597040,0
263,76561197966638457,498320,0
264,76561197966638457,620980,1
265,76561197966638457,629760,21315
266,76561197966638457,386180,31781
267,76561197966638457,218620,8
268,76561197966638457,652550,0
269,76561197966638457,653210,0
270,76561197966638457,601430,0
271,76561197966638457,674750,55
272,76561197966638457,113020,0
273,76561197966638457,727110,0
274,76561197966638457,466240,161
275,76561197966638457,739630,413
276,76561197966638457,755790,2054
277,76561197966638457,231430,0
278,76561197966638457,823130,5
279,76561197966638457,552500,0
280,76561197966638457,737010,0
281,76561197966638457,863550,67
282,76561197966638457,884660,0
283,76561197966638457,892970,5156
284,76561197966638457,617290,0
285,76561197966638457,1172470,0
286,76561197966638457,1063730,10273
287,76561197966638457,1238840,1
288,76561197966638457,1238810,0
289,76561197966638457,616560,0
290,76561197966638457,489520,0
291,76561197966638457,1599340,1453
292,76561197966638457,520720,0
293,76561198034918747,70,0
